DAdguid,PRCDDA,Province,Dissemination area (DA) Population,Situational vulnerability Quintiles,Situational vulnerability Scores,Ethno-cultural composition Quintiles,Ethno-cultural composition Scores,Residential instability Quintiles,Residential instability Scores,Economic dependency Quintiles,Economic dependency Scores,DArplat,DArplong,DApop_2021,DAtdwell_2021,DAurdwell_2021,DArplamx,DArplamy,CTcode,the_geom,CCSNAME,LANDAREA,PRUID,DAUID,_predicate,Boundary Type
2021S051248110083,48110083,Alberta,717,5,1.656,5,2.738,5,1.395,1,-0.675,53.567444,-113.383838,638.0,348.0,313.0,4822695.4886,2168269.1943,3776,"MULTIPOLYGON (((-113.388777518234 53.57053879435542, -113.38777731996223 53.57074760482541, -113.38734679662497 53.570882104201885, -113.38722861147528 53.570929407533804, -113.38696549828025 53.570548003299834, -113.38668569373051 53.57014000213157, -113.38650458360519 53.56987390290683, -113.38639290351409 53.56976829725147, -113.38584967708294 53.56950939775859, -113.38509929732567 53.56932649031843, -113.38305988014805 53.56905249398219, -113.38243119913206 53.56888520604989, -113.38176429358941 53.56857490338165, -113.38154049059108 53.568415899293726, -113.3814812074595 53.568373709686334, -113.38112450484822 53.56794030942837, -113.38096748865897 53.56756579169636, -113.3809854920257 53.56707990566763, -113.38114889830086 53.566762005896585, -113.38150437763515 53.566368292273395, -113.38257031453509 53.56571769104271, -113.38343761057837 53.56502610691328, -113.38377639980814 53.56487551174439, -113.38506919663622 53.56449909394102, -113.38530450224789 53.56465620296185, -113.38559381866705 53.564965092968656, -113.38574579514709 53.565519510033006, -113.38599178822507 53.56586519293468, -113.38622720559422 53.56602239019985, -113.3867346746427 53.56618309302679, -113.38706911417002 53.566221391773176, -113.38718151158805 53.56687529721584, -113.38754130484956 53.56763249415473, -113.38754549540808 53.56851350791493, -113.38770398109784 53.56864520480573, -113.38830050744326 53.56877719676617, -113.3890595170499 53.56884290049111, -113.39058479714213 53.56883940697151, -113.39144271215041 53.568837201999116, -113.39368060481301 53.56883138558963, -113.39366528393724 53.56936220794143, -113.3936397838177 53.569713295793335, -113.3936124911738 53.57029830555454, -113.3936054907202 53.57044231533806, -113.39150627602682 53.5704482958863, -113.38954390360105 53.57046959235027, -113.388777518234 53.57053879435542)))",Edmonton,0.2533,48,48110083.0,INTERSECTS,Census Dissemination Area
2021S051248110085,48110085,Alberta,574,5,0.889,5,2.182,5,1.475,1,-1.347,53.574096,-113.391049,525.0,252.0,220.0,4822493.7371,2169113.1171,2197,"MULTIPOLYGON (((-113.38734679662497 53.570882104201885, -113.38777731996223 53.57074760482541, -113.388777518234 53.57053879435542, -113.38954390360105 53.57046959235027, -113.39150627602682 53.5704482958863, -113.3936054907202 53.57044231533806, -113.39364159883434 53.57134959169747, -113.39371669644218 53.57160880269584, -113.39371841071194 53.571905497044405, -113.39372131172517 53.5727595999302, -113.39371968575286 53.57353279657818, -113.39371808611403 53.574307923775685, -113.39371649177674 53.57507929298698, -113.39159925142158 53.57507650662428, -113.38992449641648 53.57507429465471, -113.38946732042902 53.57500249997229, -113.38908107164956 53.57484844654519, -113.38908086047223 53.57484832496587, -113.38887718570057 53.57471760225884, -113.38861598750114 53.57437210038641, -113.38857419237779 53.57282658986353, -113.38841758311878 53.57246109276431, -113.38802917948934 53.57200130270891, -113.38774291308458 53.57174630986454, -113.38752698505876 53.571399899349224, -113.38722861147528 53.570929407533804, -113.38734679662497 53.570882104201885)))",Edmonton,0.183,48,48110085.0,INTERSECTS,Census Dissemination Area
2021S051248110086,48110086,Alberta,370,3,-0.23,3,-0.1,4,0.101,4,0.245,53.573283,-113.39614,385.0,163.0,152.0,4822150.9097,2169139.3245,2197,"MULTIPOLYGON (((-113.39364159883434 53.57134959169747, -113.3936054907202 53.57044231533806, -113.39381668743799 53.57043799892393, -113.39529168278091 53.57034560965789, -113.39684768523612 53.57035030407627, -113.39838821067116 53.57034639116381, -113.39837048363651 53.571902205979335, -113.39837199995254 53.57352949678221, -113.39837051581337 53.57510289671563, -113.39682989630695 53.57510689911992, -113.39472838929736 53.57507700046903, -113.39406399323106 53.57508141301377, -113.39371649177674 53.57507929298698, -113.39371808611403 53.574307923775685, -113.39371968575286 53.57353279657818, -113.39372131172517 53.5727595999302, -113.39371841071194 53.571905497044405, -113.39371669644218 53.57160880269584, -113.39364159883434 53.57134959169747)))",Edmonton,0.163,48,48110086.0,INTERSECTS,Census Dissemination Area
2021S051248110087,48110087,Alberta,203,1,-0.624,1,-0.877,4,0.285,3,-0.072,53.576344,-113.397003,238.0,109.0,101.0,4822209.196,2169474.4829,2197,"MULTIPOLYGON (((-113.39533839479972 53.577582304760085, -113.39475481775443 53.57741410713247, -113.39473078084849 53.57672230099415, -113.39473038117684 53.57591320427544, -113.39472838929736 53.57507700046903, -113.39682989630695 53.57510689911992, -113.39837051581337 53.57510289671563, -113.39989602048117 53.5750993034694, -113.39989661201581 53.57670868588718, -113.39835591045176 53.57671260329657, -113.39834979076849 53.57820510025506, -113.39829249660404 53.57826030102523, -113.39817231802887 53.578271608042805, -113.3967943216936 53.57794870176571, -113.39533839479972 53.577582304760085)))",Edmonton,0.0924,48,48110087.0,INTERSECTS,Census Dissemination Area
2021S051248110088,48110088,Alberta,322,4,-0.061,1,-0.811,4,0.482,2,-0.416,53.574933,-113.401712,334.0,147.0,135.0,4821868.0678,2169430.5971,2197,"MULTIPOLYGON (((-113.39837051581337 53.57510289671563, -113.39837199995254 53.57352949678221, -113.39989748253113 53.5735258948728, -113.40143861178082 53.57353090328337, -113.4029791131353 53.57352690095035, -113.40451958740171 53.57352290965731, -113.40450370308164 53.575105599999254, -113.40450351005175 53.57669700246386, -113.40296280944267 53.57670098628707, -113.40142209629134 53.57670500573396, -113.39989661201581 53.57670868588718, -113.39989602048117 53.5750993034694, -113.39837051581337 53.57510289671563)))",Edmonton,0.1256,48,48110088.0,INTERSECTS,Census Dissemination Area
2021S051248110089,48110089,Alberta,613,5,0.506,5,0.916,1,-1.006,2,-0.329,53.577848,-113.404145,483.0,179.0,164.0,4821824.4819,2169784.7045,2197,"MULTIPOLYGON (((-113.40364523611676 53.57859184937426, -113.40293400274723 53.5785897039981, -113.40286130686714 53.57890579953566, -113.4026832954113 53.57896339139469, -113.40234569187477 53.57887119273557, -113.40231431603964 53.57858420486178, -113.40110601765659 53.57859039661151, -113.40067841797895 53.578509093933356, -113.40022948608429 53.57832030281681, -113.39999052674206 53.57810030808404, -113.39988168665164 53.5777788980158, -113.39989661201581 53.57670868588718, -113.40142209629134 53.57670500573396, -113.40296280944267 53.57670098628707, -113.40450351005175 53.57669700246386, -113.4060441131593 53.57669298916171, -113.40760042147949 53.576697600844575, -113.40761108556927 53.57874740520916, -113.4072766903225 53.58003979603172, -113.40435159882398 53.579343299174845, -113.40430060310666 53.57924550943929, -113.40443629942332 53.578973111971294, -113.40449032058804 53.57859440290057, -113.40364523611676 53.57859184937426)))",Edmonton,0.1325,48,48110089.0,INTERSECTS,Census Dissemination Area
2021S051248110090,48110090,Alberta,450,5,0.397,3,-0.301,2,-0.402,3,-0.064,53.573968,-113.40655,413.0,190.0,185.0,4821535.2544,2169435.6278,2197,"MULTIPOLYGON (((-113.4029791131353 53.57352690095035, -113.4029622954809 53.57189990176988, -113.40450278616473 53.57189589341865, -113.40604379614952 53.57190090188805, -113.40759940203274 53.571896499084815, -113.40913989442693 53.5718925063074, -113.40914179103312 53.57351981421427, -113.40912500562258 53.575084493542846, -113.40914101207328 53.576693600735105, -113.40760042147949 53.576697600844575, -113.4060441131593 53.57669298916171, -113.40450351005175 53.57669700246386, -113.40450370308164 53.575105599999254, -113.40451958740171 53.57352290965731, -113.4029791131353 53.57352690095035)))",Edmonton,0.1822,48,48110090.0,INTERSECTS,Census Dissemination Area
2021S051248110091,48110091,Alberta,399,4,-0.059,4,-0.009,3,-0.126,5,0.544,53.577456,-113.410657,413.0,180.0,172.0,4821409.573,2169885.2551,2197,"MULTIPOLYGON (((-113.4072766903225 53.58003979603172, -113.40761108556927 53.57874740520916, -113.40760042147949 53.576697600844575, -113.40914101207328 53.576693600735105, -113.40912500562258 53.575084493542846, -113.41066672029925 53.57509840798249, -113.41220729899902 53.57509429719158, -113.41374739951686 53.57508119888482, -113.4152885136142 53.57508610733, -113.41528911134868 53.576686394028805, -113.41374840012537 53.57669059117527, -113.41373602023073 53.578327201337345, -113.41308658783294 53.57833129159369, -113.41220241561523 53.57845701034992, -113.412123298766 53.57847014409759, -113.4106598843187 53.57869490931905, -113.41064829311489 53.57928861152694, -113.41052660157874 53.57980349334754, -113.41026288923509 53.580213410550535, -113.41005978750245 53.58036129224183, -113.40976357884398 53.580466201174104, -113.40943161300807 53.58047288758555, -113.4072766903225 53.58003979603172)))",Edmonton,0.1951,48,48110091.0,INTERSECTS,Census Dissemination Area
2021S051248110092,48110092,Alberta,321,5,0.973,4,0.174,5,0.592,3,-0.077,53.572411,-113.410391,371.0,167.0,154.0,4821242.2315,2169358.0036,2197,"MULTIPOLYGON (((-113.40759940203274 53.571896499084815, -113.40761617867332 53.57033179271133, -113.40914150241447 53.57032800970139, -113.41066741461896 53.570333201976716, -113.41220779942371 53.57032909122914, -113.41220568768051 53.571884599458954, -113.41220830525134 53.573520904401356, -113.41220729899902 53.57509429719158, -113.41066672029925 53.57509840798249, -113.40912500562258 53.575084493542846, -113.40914179103312 53.57351981421427, -113.40913989442693 53.5718925063074, -113.40759940203274 53.571896499084815)))",Edmonton,0.1255,48,48110092.0,INTERSECTS,Census Dissemination Area
2021S051248110093,48110093,Alberta,403,5,1.282,4,-0.022,5,0.988,2,-0.575,53.572176,-113.414609,455.0,221.0,198.0,4820974.1118,2169425.1249,2197,"MULTIPOLYGON (((-113.41220830525134 53.573520904401356, -113.41220568768051 53.571884599458954, -113.41220779942371 53.57032909122914, -113.41374821299931 53.57032500744874, -113.41529119912899 53.570365799755706, -113.4168327093633 53.57037960048292, -113.4183891994074 53.57039311124768, -113.41839411877959 53.57074359391071, -113.41838380478923 53.57188570860569, -113.41682770516945 53.57188119617565, -113.41528668238304 53.57187640105397, -113.41527431234005 53.57351289215821, -113.4152885136142 53.57508610733, -113.41374739951686 53.57508119888482, -113.41220729899902 53.57509429719158, -113.41220830525134 53.573520904401356)))",Edmonton,0.1421,48,48110093.0,INTERSECTS,Census Dissemination Area
