geography,lacking_canopy_z,lacking_canopy,Pop_density_z,Population Density (People/sq. km),total_population  1 1,homeowners_core_housing_need,total_core_housing_need,tennants_in_core_housing_need_divided,owners_30%_or_more,total_30%_plus_shelter,tennants_30%_plus_shelter_cost,tennants_subs_housing,Low_Income_Measure_18_to_64_years_(%),Low_Income_Cutoff_18_to_64_years_(%),housing_stock_1960_and_earlier,housing_stock_61_to_80,New LIM 65 years and over,new LICO 65 plus,65_plus_proportion,65_plus_z,proportion_children,total sum Gini index on adjusted household after-tax income 212 209,in_single_parent_families,bottom_decile_%,bottom_half_dist,second_decile_prop,Living alone 42 34,less_than_hs,non_perm_resident,non_citizens,unsuitable_housing,"Low-income cut-offs, after tax (LICO-AT) (%) 191 191","Low-income measure, after tax (LIM-AT) (%) 176 176",Renters,visible_minority_population,unemployed,lack_canopy_z,lacking_canopy,Temperature,target,total_population  1 1_z,homeowners_core_housing_need_z,total_core_housing_need_z,tennants_in_core_housing_need_divided_z,owners_30%_or_more_z,total_30%_plus_shelter_z,tennants_30%_plus_shelter_cost_z,tennants_subs_housing_z,Low_Income_Measure_18_to_64_years_(%)_z,Low_Income_Cutoff_18_to_64_years_(%)_z,housing_stock_1960_and_earlier_z,housing_stock_61_to_80_z,New LIM 65 years and over_z,new LICO 65 plus_z,proportion_children_z,total sum Gini index on adjusted household after-tax income 212 209_z,in_single_parent_families_z,bottom_decile_%_z,bottom_half_dist_z,second_decile_prop_z,Living alone 42 34_z,less_than_hs_z,non_perm_resident_z,non_citizens_z,unsuitable_housing_z,"Low-income cut-offs, after tax (LICO-AT) (%) 191 191_z","Low-income measure, after tax (LIM-AT) (%) 176 176_z",Renters_z,visible_minority_population_z,unemployed_z,Temperature_z,target_z
ABBOTTSFIELD,0.717508794,99.9,1.001598345,4020,1765,0.095,0.4439999999999999,0.349,0.182,0.563,0.381,0.2,0.286,0.148,0.03125,0.7265625,0.16,0,0.08,-1.014872697,0.4362606232294617,0.28,0.2464589235127478,0.235127479,0.8215297450424929,0.2322946175637393,0.084985836,0.3055555555555556,0.011331445,0.1643059490084986,0.1171875,0.176,0.3279999999999999,0.2436260623229461,0.5354107648725213,0.067988669,,99.9,26.7,1.1,-0.688574815,1.0724846986699652,1.4872658952310422,1.4059170490847448,0.2121802617062176,0.6044817664860492,0.5864003440186613,1.4221253655782602,3.772578072844584,1.9307708996343913,-0.526914313,1.5366758245336776,0.7318377282561943,-0.536483577,2.0042212753859285,0.11249662133429161,5.018556508501514,2.6550218646106005,2.2497692084151732,2.5880551830958356,-0.389168888,2.4498392720730675,-0.279851611,0.6538513983742248,2.250945038903305,2.901531433003053,3.8622182284966007,0.9730998393603397,0.9313626281672607,-0.093474519,1.2517942726198965,0.7161982745636168
ALBANY,1.383038278,99.95,-0.869778823,1704,1655,0.049,0.119,0.07,0.2239999999999999,0.5129999999999999,0.289,0,0.072,0.074,0,0,0,0,0.07,-1.114432184,0.3262839879154078,0.264,0.063444109,0.078549849,0.4138972809667673,0.075528701,0.1178247734138972,0.1284046692607003,0.009063444,0.063444109,0.046511628,0.067,0.077,0.1359516616314199,0.540785498,0.060422961,,99.95,23.7,1.15,-0.731551693,-0.115824966,-0.777319848,-0.875575878,0.8980694368270693,0.28985011682169737,-0.063044968,-0.721331791,-0.15948752,0.2829270895538737,-0.676721203,-1.083628117,-1.066389783,-0.536483577,0.34020270518025925,-0.180220785,-0.354365349,-0.180502276,-0.321696013,-0.391264426,0.029172820588872887,-0.311825096,-0.343384251,-0.705994824,-0.001610239,0.20852286524647323,-0.311265392,0.011629617681691944,0.9629353494592926,-0.490418289,-0.835398093,1.3805121785258057
ALBERTA AVENUE,-1.545291451,99.73,0.924028306,3924,6325,0.11,0.409,0.299,0.185,0.6060000000000001,0.421,0.165,0.1159999999999999,0.1,0.5543859649122806,0.1736842105263158,0.2319999999999999,0.06,0.14,-0.180229819,0.2529644268774703,0.247,0.1043478260869565,0.1399209486166008,0.6592885375494071,0.1596837944664031,0.1699604743083003,0.2396313364055299,0.017391304,0.108300395,0.054385965,0.091,0.144,0.1968379446640316,0.3778656126482213,0.090909091,,99.73,24.2,0.9299999999999999,1.093012092008015,1.4599769805315406,1.2433874305463266,0.9970473488961823,0.26117234564342146,0.8750649851973925,0.8687678709056018,1.0470203631477775,0.6489745642551644,0.8618992390416234,1.980905588754859,-0.457246462,1.5410401083015743,1.1293009588216498,-0.769170306,-0.491233029,0.8464799334888936,0.9308904234982107,1.2263040544168682,1.2080941959371174,0.6933398033462266,1.4221245887428111,-0.110099066,-0.10123041,0.24935772014869273,0.8014788801653531,0.8027720685027377,0.5553089664274063,0.00589738,1.109072425967227,-0.487532699,-1.542468999
ALDERGROVE,-0.081126587,99.84,0.38103804,3252,5260,0.076,0.309,0.233,0.139,0.516,0.377,0.043,0.083,0.06,0.018567639,0.5358090185676393,0.096,0.028,0.14,-0.115439018,0.3469581749049429,0.259,0.1017110266159695,0.08269962,0.5570342205323194,0.1064638783269961,0.064638783,0.1695702671312427,0.019011407,0.1844106463878327,0.079575597,0.052,0.089,0.1340304182509505,0.4201520912547528,0.088403042,,99.84,25.9,1.04,0.676917781,0.581661142,0.5465918171614234,0.4573393446472797,-0.490039608,0.3087280158015592,0.5581635913299672,-0.260488502,0.042628000823102946,-0.028827145,-0.587711274,0.8487348707806396,0.012546724,0.24088253958058517,0.6530167040469312,-0.271694974,0.7690691646947456,-0.10535249,0.5812538114485697,0.1966553376585012,-0.648374004,0.32991916634494617,-0.064715751,0.9249082887642124,1.0521923596859397,-0.162074644,-0.111736295,-0.005525976,0.2543002399630364,0.9775896101529937,0.6952096418297008,-0.08097841
ALLARD,1.516144175,99.96,1.593877906,4753,8435,0.036,0.18,0.144,0.212,0.5569999999999999,0.345,0,0.075,0.048,0.003539823,0,0,0,0.05,-1.461938343,0.3532898636633076,0.254,0.041493776,0.066390041,0.4582098399525785,0.064018969,0.058091286,0.098214286,0.035566094,0.2471843509187907,0.054867257,0.045,0.075,0.098992294,0.6947243627741553,0.055720213,,99.96,25.8,1.16,1.9173867355477612,-0.45165161,-0.352274524,-0.270448722,0.7021011010782557,0.566725969,0.33226956982041445,-0.721331791,-0.104365105,-0.29604506,-0.659751927,-1.083628117,-1.066389783,-0.536483577,0.7488193047047361,-0.363169164,-0.998779973,-0.400708876,-0.042159386,-0.610005668,-0.73178386,-0.782473074,0.3990244017923217,1.7712401099987645,0.26469727214866506,-0.335020148,-0.344520241,-0.318396193,1.8672162319177306,-0.737153464,0.6256365629809278,1.513374959318244
ALLENDALE,-1.412185555,99.74,0.370533764,3239,2840,0.029,0.276,0.247,0.144,0.533,0.389,0.099,0.143,0.129,0.4172932330827067,0.2969924812030075,0.272,0.1,0.11,-0.475192371,0.2165492957746478,0.307,0.075704225,0.1707746478873239,0.5809859154929577,0.1126760563380281,0.1919014084507042,0.1113320079522862,0.049295775,0.125,0.018796992,0.118,0.168,0.2834507042253521,0.2447183098591549,0.084507042,,99.74,23.1,0.94,-0.268573516,-0.632481342,0.31664926474440536,0.5718228607000772,-0.408386135,0.41570277668743877,0.6428738493960495,0.3396795014217237,1.145076297972309,1.5076758673164208,1.3237076433030783,-0.012542602,1.9905969861045656,2.239823982872977,-1.320155106,0.6064572442834995,0.005565341,1.489631855527778,0.7323481329849452,0.3147171214922656,0.9728496934645847,-0.577976518,0.7836287393521613,0.12391811407507414,-0.884920858,1.468554396949093,1.2018302632845466,1.3287108948411666,-0.776247929,0.7731814054801678,-1.252836566,-1.409606218
AMBLESIDE,1.249932381,99.94,-0.511825418,2147,6730,0.046,0.2309999999999999,0.185,0.233,0.5900000000000001,0.357,0,0.078,0.046,0,0,0.144,0.064,0.09,-0.887578777,0.3231797919762258,0.288,0.054977712,0.078751857,0.4019316493313521,0.054977712,0.1054977711738484,0.079457364,0.035661218,0.1560178306092124,0.038314176,0.049,0.086,0.1040118870728083,0.5267459138187222,0.055720654,,99.94,26,1.1400000000000001,1.251245139701663,-0.193323422,0.003091239,0.064824432,1.0450456886386827,0.7743828573047999,0.41697982788649673,-0.721331791,-0.049242691,-0.340581379,-0.676721203,-1.083628117,0.5520149771349983,1.2403532612267825,0.2932341861525111,0.2588553244303525,-0.60292058,-0.176844028,-0.39717873,-0.781833794,-0.127863294,-1.07488099,0.401689096,0.5421087763338741,-0.262876389,-0.236194146,-0.161618569,-0.273574126,0.8804628167797497,-0.737130358,0.7647827206784762,1.2476493977333702
ARGYLL,-1.545291451,99.73,-0.518289588,2139,790,0,0,0,0.176,0.176,0,0,0.04,0.064,0.7794117647058824,0.1617647058823529,0,0,0.18,0.507592319,0.1962025316455696,0.289,0.044303797,0.082278481,0.3417721518987341,0.037974684,0.1012658227848101,0.052238806,0,0.037974684,0,0.076,0.06,0.1075949367088607,0.1582278481012658,0.037974684,,99.73,23.1,0.9299999999999999,-1.069506226,-1.381633086,-1.606506628,-1.447993458,0.11419609383180988,-1.830767202,-2.10315035,-0.721331791,-0.747459945,0.060245493597047096,3.059638876248488,-0.500233438,-1.066389783,-0.536483577,-1.628014983,0.2771501623173602,-0.916283776,-0.112979053,-0.776682496,-1.104974541,-0.181774919,-1.499200192,-0.597275068,-1.049380405,-1.484011656,0.4308813708410531,-0.593931613,-0.241579561,-1.284317619,-1.668193581,-1.252836566,-1.542468999
ASPEN GARDENS,-0.746656071,99.79,-0.603131817,2034,1570,0.052,0.052,0,0.15,0.15,0,0,0.044,0.064,0.042372881,0.8728813559322034,0,0,0.19,0.569507772,0.3184713375796178,0.294,0.038216561,0.057324841,0.2611464968152866,0.044585987,0.066878981,0.084291188,0,0.035031847,0.033898305,0.051,0.046,0.060509554,0.2388535031847133,0.070063694,,99.79,22.9,0.99,-0.764761098,-0.038326509,-1.244172909,-1.447993458,-0.310401967,-1.99437566,-2.10315035,-0.721331791,-0.673963392,0.060245493597047096,-0.473593217,2.0643659749110688,-1.066389783,-0.536483577,0.2219921852443327,0.3686243517523989,-1.094991978,-0.564874061,-1.285292792,-0.979327415,-0.619835685,-0.999524901,-0.597275068,-1.08905651,-0.403617403,-0.186781145,-0.82671556,-0.662024838,-0.810699479,0.015394147795351781,-1.391982724,-0.745292314
ATHLONE,0.451297,99.88,-0.154680035,2589,3240,0.055,0.297,0.242,0.163,0.486,0.3229999999999999,0.047,0.083,0.072,0.3387096774193548,0.1693548387096774,0.048,0.048,0.14,-0.127455125,0.324074074,0.247,0.074074074,0.103395062,0.5447530864197531,0.098765432,0.1049382716049382,0.2320441988950276,0.00462963,0.1111111111111111,0.040322581,0.083,0.092,0.097222222,0.4166666666666667,0.055555556,,99.88,24.2,1.08,-0.112293963,0.039171947039097585,0.4629763435552348,0.5309358906812208,-0.098102937,0.11994902600294804,0.17696743003259655,-0.217619359,0.042628000823102946,0.23839077036250833,0.9469921848026769,-0.47286008,-0.52692153,0.7961440516062517,0.3067652603990763,-0.491233029,-0.0422924,0.26942917805748573,0.5037808130037865,0.050347184086733214,-0.134990869,1.3038461665707686,-0.467587012,-0.063335589,-0.198865266,0.6038268751923932,-0.06185402,-0.334201912,0.2338258598453088,-0.745792432,-0.487532699,0.4504727129787402
