geography,lacking_canopy,Population Density (People/sq. km),total_population  1 1,homeowners_core_housing_need,total_core_housing_need,tennants_in_core_housing_need_divided,owners_30%_or_more,total_30%_plus_shelter,tennants_30%_plus_shelter_cost,tennants_subs_housing,Low_Income_Measure_18_to_64_years_(%),Low_Income_Cutoff_18_to_64_years_(%),housing_stock_1960_and_earlier,housing_stock_61_to_80,New LIM 65 years and over,new LICO 65 plus,65_plus_proportion,proportion_children,total sum Gini index on adjusted household after-tax income 212 209,in_single_parent_families,bottom_decile_%,bottom_half_dist,second_decile_prop,Living alone 42 34,less_than_hs,non_perm_resident,non_citizens,unsuitable_housing,"Low-income cut-offs, after tax (LICO-AT) (%) 191 191","Low-income measure, after tax (LIM-AT) (%) 176 176",Renters,visible_minority_population,unemployed,lacking_canopy.1,Temperature,target
ABBOTTSFIELD,99.9,4020,1765,0.095,0.4439999999999999,0.349,0.182,0.563,0.381,0.2,0.286,0.148,0.03125,0.7265625,0.16,0.0,0.08,0.4362606232294617,0.28,0.2464589235127478,0.235127479,0.8215297450424929,0.2322946175637393,0.084985836,0.3055555555555556,0.011331445,0.1643059490084986,0.1171875,0.176,0.3279999999999999,0.2436260623229461,0.5354107648725213,0.067988669,99.9,26.7,1.1
ALBANY,99.95,1704,1655,0.049,0.119,0.07,0.2239999999999999,0.5129999999999999,0.289,0.0,0.072,0.074,0.0,0.0,0.0,0.0,0.07,0.3262839879154078,0.264,0.063444109,0.078549849,0.4138972809667673,0.075528701,0.1178247734138972,0.1284046692607003,0.009063444,0.063444109,0.046511628,0.067,0.077,0.1359516616314199,0.540785498,0.060422961,99.95,23.7,1.15
ALBERTA AVENUE,99.73,3924,6325,0.11,0.409,0.299,0.185,0.6060000000000001,0.421,0.165,0.1159999999999999,0.1,0.5543859649122806,0.1736842105263158,0.2319999999999999,0.06,0.14,0.2529644268774703,0.247,0.1043478260869565,0.1399209486166008,0.6592885375494071,0.1596837944664031,0.1699604743083003,0.2396313364055299,0.017391304,0.108300395,0.054385965,0.091,0.144,0.1968379446640316,0.3778656126482213,0.090909091,99.73,24.2,0.93
ALDERGROVE,99.84,3252,5260,0.076,0.309,0.233,0.139,0.516,0.377,0.043,0.083,0.06,0.018567639,0.5358090185676393,0.096,0.028,0.14,0.3469581749049429,0.259,0.1017110266159695,0.08269962,0.5570342205323194,0.1064638783269961,0.064638783,0.1695702671312427,0.019011407,0.1844106463878327,0.079575597,0.052,0.089,0.1340304182509505,0.4201520912547528,0.088403042,99.84,25.9,1.04
ALLARD,99.96,4753,8435,0.036,0.18,0.144,0.212,0.5569999999999999,0.345,0.0,0.075,0.048,0.003539823,0.0,0.0,0.0,0.05,0.3532898636633076,0.254,0.041493776,0.066390041,0.4582098399525785,0.064018969,0.058091286,0.098214286,0.035566094,0.2471843509187907,0.054867257,0.045,0.075,0.098992294,0.6947243627741553,0.055720213,99.96,25.8,1.16
ALLENDALE,99.74,3239,2840,0.029,0.276,0.247,0.144,0.533,0.389,0.099,0.143,0.129,0.4172932330827067,0.2969924812030075,0.272,0.1,0.11,0.2165492957746478,0.307,0.075704225,0.1707746478873239,0.5809859154929577,0.1126760563380281,0.1919014084507042,0.1113320079522862,0.049295775,0.125,0.018796992,0.118,0.168,0.2834507042253521,0.2447183098591549,0.084507042,99.74,23.1,0.94
AMBLESIDE,99.94,2147,6730,0.046,0.2309999999999999,0.185,0.233,0.5900000000000001,0.357,0.0,0.078,0.046,0.0,0.0,0.144,0.064,0.09,0.3231797919762258,0.288,0.054977712,0.078751857,0.4019316493313521,0.054977712,0.1054977711738484,0.079457364,0.035661218,0.1560178306092124,0.038314176,0.049,0.086,0.1040118870728083,0.5267459138187222,0.055720654,99.94,26.0,1.14
ARGYLL,99.73,2139,790,0.0,0.0,0.0,0.176,0.176,0.0,0.0,0.04,0.064,0.7794117647058824,0.1617647058823529,0.0,0.0,0.18,0.1962025316455696,0.289,0.044303797,0.082278481,0.3417721518987341,0.037974684,0.1012658227848101,0.052238806,0.0,0.037974684,0.0,0.076,0.06,0.1075949367088607,0.1582278481012658,0.037974684,99.73,23.1,0.93
ASPEN GARDENS,99.79,2034,1570,0.052,0.052,0.0,0.15,0.15,0.0,0.0,0.044,0.064,0.042372881,0.8728813559322034,0.0,0.0,0.19,0.3184713375796178,0.294,0.038216561,0.057324841,0.2611464968152866,0.044585987,0.066878981,0.084291188,0.0,0.035031847,0.033898305,0.051,0.046,0.060509554,0.2388535031847133,0.070063694,99.79,22.9,0.99
ATHLONE,99.88,2589,3240,0.055,0.297,0.242,0.163,0.486,0.3229999999999999,0.047,0.083,0.072,0.3387096774193548,0.1693548387096774,0.048,0.048,0.14,0.324074074,0.247,0.074074074,0.103395062,0.5447530864197531,0.098765432,0.1049382716049382,0.2320441988950276,0.00462963,0.1111111111111111,0.040322581,0.083,0.092,0.097222222,0.4166666666666667,0.055555556,99.88,24.2,1.08
AVONMORE,99.84,2257,2150,0.066,0.066,0.0,0.152,0.361,0.209,0.0,0.022,0.031,0.6978021978021978,0.1593406593406593,0.08,0.0,0.19,0.2581395348837209,0.264,0.058139535,0.037209302,0.4325581395348837,0.1,0.1162790697674418,0.1436314363143631,0.006976744,0.060465116,0.0,0.035,0.038,0.1,0.1186046511627907,0.076744186,99.84,24.3,1.04
BALWIN,99.89,2887,4300,0.065,0.43,0.365,0.183,0.5429999999999999,0.36,0.1969999999999999,0.172,0.109,0.2188449848024316,0.541033435,0.124,0.038,0.12,0.3453488372093023,0.285,0.1302325581395348,0.1895348837209302,0.6802325581395349,0.1581395348837209,0.1011627906976744,0.3102453102453102,0.01627907,0.127906977,0.066869301,0.102,0.211,0.1651162790697674,0.4034883720930232,0.08255814,99.89,26.2,1.09
BANNERMAN,99.87,3834,2665,0.092,0.397,0.305,0.1689999999999999,0.4639999999999999,0.295,0.19,0.151,0.1,0.013888889,0.7314814814814815,0.088,0.052,0.18,0.3208255159474671,0.272,0.1275797373358349,0.1838649155722326,0.6097560975609756,0.1275797373358349,0.091932458,0.1954022988505747,0.015009381,0.069418386,0.041666667,0.107,0.174,0.1163227016885553,0.2288930581613508,0.073170732,99.87,26.0,1.07
BARANOW,99.89,3081,2285,0.096,0.318,0.222,0.294,0.636,0.342,0.144,0.126,0.066,0.015306122,0.015306122,0.12,0.0,0.11,0.3435448577680525,0.254,0.1006564551422319,0.1203501094091903,0.6411378555798687,0.1291028446389496,0.1663019693654266,0.1498559077809798,0.030634573,0.098468271,0.081632653,0.063,0.147,0.2407002188183807,0.6280087527352297,0.070021882,99.89,26.9,1.09
