id,lat,lon,name
3636133577,53.5063752,-113.6217818,Dog Park
4498776515,53.5186819,-113.692985,Rosenthal's Park
4726895588,53.4016021,-113.5286257,Allard Park
4726903246,53.3992377,-113.5462317,Desrochers Park
4727090604,53.5324223,-113.7056903,Unknown
4727276198,53.6282915,-113.5911651,Acorn Park Trail
5262977844,53.4161528,-113.5716873,Unknown
5262997168,53.4165284,-113.5665172,Jagre Ridge Golf Course hole # 15 scenic park area north of pond
5764899750,53.4136885,-113.562146,Paisley Rest Park
11309763926,53.5815039,-113.4139395,Unknown
11341633228,53.578838,-113.409075,Unknown
23201031,,,Strathcona Athletic Park
23212622,,,Unknown
23224047,,,Unknown
23224060,,,Kinsmen/Westboro Park
23224173,,,Cottonwood Park
23224180,,,Estates of Sherwood Park Sport Field Park
23224188,,,Estates of Sherwood Park Central Park
23234859,,,Ball Lake Island Park
23236234,,,William Hawrelak Park
23236319,,,Emily Murphy Park
23237004,,,Kinsmen Park
23237088,,,Terwillegar Park
23239601,,,Twin Brooks Park
23240453,,,McGhan Park
23249973,,,Confederation Park
23250191,,,Twin Brooks District and Nature Park
23250804,,,Empire Park
23250809,,,Kaskitayo Park
23272356,,,Lansdowne Park
23272365,,,Lendrum Place Park
23272369,,,Unknown
23272380,,,Allendale Park
23272384,,,Mount Pleasant Park
23272409,,,Rideau Park
23272431,,,Duggan Park
23272439,,,Blue Quill Park
23272449,,,Ermineskin Park
23272459,,,Keheewin Park
23272471,,,Unknown
23272488,,,Steinhauer Park
23272498,,,Greenfield Park
23309663,,,Malvern Park
23309665,,,Marion Park
23309677,,,Baseline Park
23309685,,,Gilmore Park
23309688,,,Heritage Point Park
23309692,,,Unknown
23309699,,,Heritage Hills Park
23309702,,,Unknown
23309705,,,Granville Park
23316591,,,Centre in the Park
23322022,,,Rotary Park at Trillium Centre
23366130,,,Unknown
23366156,,,Upper Nottingham Lake Park East
23366160,,,Upper Nottingham Lake Park West
23366168,,,Unknown
23366170,,,Unknown
23366171,,,Nottingham Park
23366174,,,Peacock Park
23366181,,,Nottingham Green Park
23366182,,,McPherson Park
23366183,,,Ridge Park South
23366216,,,Circlewood Park
23366217,,,Meadowood Park
23366220,,,Maywood Park
23366222,,,Robin Hood Park
23366225,,,Privet Park
23366229,,,Big Cypress Park
23366233,,,Unknown
23746416,,,Herb Belcourt Park
23746419,,,Gilles Park
23746424,,,Parker Park
23848231,,,Unknown
25412689,,,Donnan Park
25460824,,,Fulton Ravine
25460825,,,Gold Bar Park
25464517,,,Unknown
25464518,,,Unknown
25490060,,,Borden Park
25490109,,,Stutchbury Park
25490923,,,Forest Heights Park
25492344,,,Whitemud Park
