DAdguid,PRCDDA,Province,Dissemination area (DA) Population,Situational vulnerability Quintiles,Situational vulnerability Scores,Ethno-cultural composition Quintiles,Ethno-cultural composition Scores,Residential instability Quintiles,Residential instability Scores,Economic dependency Quintiles,Economic dependency Scores,DArplat,DArplong,DApop_2021,DAtdwell_2021,DAurdwell_2021,DArplamx,DArplamy,CTcode,the_geom,CCSNAME,LANDAREA,PRUID,DAUID,_predicate,Boundary Type,fid,da_int,name,geometry,neighbourhood_name,neighbourhood_number,Education_Training_Profile,Demographic_Housing_Profile,Employment_Work_Pattern_Profile,Family_Dwelling_Characteristics,Income_Inequality_Family_Dynamics,Work_Life_Balance_Income_Equality,PC7_Mixed_Factors,PC8_Mixed_Factors,PC9_Mixed_Factors,PC10_Mixed_Factors,PC11_Mixed_Factors,PC12_Mixed_Factors,PCA_Sum
2021S051248110087,48110087,Alberta,203,1,-0.624,1,-0.877,4,0.285,3,-0.072,53.576344,-113.397003,238.0,109.0,101.0,4822209.196,2169474.4829,2197,"MULTIPOLYGON (((-113.39533839479972 53.577582304760085, -113.39475481775443 53.57741410713247, -113.39473078084849 53.57672230099415, -113.39473038117684 53.57591320427544, -113.39472838929736 53.57507700046903, -113.39682989630695 53.57510689911992, -113.39837051581337 53.57510289671563, -113.39989602048117 53.5750993034694, -113.39989661201581 53.57670868588718, -113.39835591045176 53.57671260329657, -113.39834979076849 53.57820510025506, -113.39829249660404 53.57826030102523, -113.39817231802887 53.578271608042805, -113.3967943216936 53.57794870176571, -113.39533839479972 53.577582304760085)))",Edmonton,0.0924,48,48110087.0,INTERSECTS,Census Dissemination Area,4.0,48111972.0,POTTER GREENS,"MULTIPOLYGON (((-113.68039614385972 53.51756274822493, -113.68021834876484 53.517135134259554, -113.67973372858884 53.51639075641116, -113.6781808219352 53.51449244194352, -113.67936954365157 53.514205049608954, -113.68078134757918 53.51386764368633, -113.68156013252795 53.51377825039272, -113.68223961057646 53.51378994148345, -113.68346210701155 53.51379843764863, -113.68472523048115 53.513734145996175, -113.68523913211347 53.51374954224762, -113.68586804292146 53.51391525417096, -113.68612114859755 53.514093632520456, -113.6862014175473 53.51417745213096, -113.68627905360756 53.51426152782615, -113.68638641053022 53.514479042660085, -113.6864885251242 53.51489935169979, -113.68659873480306 53.51568813804562, -113.68684833673208 53.516293953675046, -113.68509682181256 53.51627033468832, -113.6849518433881 53.5163635488619, -113.68490861186243 53.51663423733279, -113.68484852281621 53.517385237442305, -113.68479913102155 53.51800344133987, -113.68449133832335 53.518145257323475, -113.68360044370019 53.518372043682064, -113.68357375104613 53.518426545507154, -113.68383322590205 53.51895124913194, -113.68394965373403 53.51983884758075, -113.68407362598609 53.51988995669813, -113.68534082527185 53.51988846064959, -113.68547933995649 53.519930355787665, -113.6853869329768 53.52013913937341, -113.68537894761516 53.520490034901236, -113.68428500141798 53.52047936801005, -113.6842617395419 53.52047914346811, -113.683600457905 53.52052105044352, -113.68252374607884 53.520671039722515, -113.68149153596553 53.52081113141237, -113.68132842434397 53.52038373444645, -113.6812022183915 53.52005334917208, -113.68039614385972 53.51756274822493)))",POTTER GREENS,4710,-8.49,3.628275496768441,-1.121584479,-2.808517569,2.036382566393381,1.5667901756550175,1.2571758614062276,-2.22172548,-0.165746674,1.820682606479029,-1.503864512,-0.106091318,-16.41494363
2021S051248110089,48110089,Alberta,613,5,0.506,5,0.916,1,-1.006,2,-0.329,53.577848,-113.404145,483.0,179.0,164.0,4821824.4819,2169784.7045,2197,"MULTIPOLYGON (((-113.40364523611676 53.57859184937426, -113.40293400274723 53.5785897039981, -113.40286130686714 53.57890579953566, -113.4026832954113 53.57896339139469, -113.40234569187477 53.57887119273557, -113.40231431603964 53.57858420486178, -113.40110601765659 53.57859039661151, -113.40067841797895 53.578509093933356, -113.40022948608429 53.57832030281681, -113.39999052674206 53.57810030808404, -113.39988168665164 53.5777788980158, -113.39989661201581 53.57670868588718, -113.40142209629134 53.57670500573396, -113.40296280944267 53.57670098628707, -113.40450351005175 53.57669700246386, -113.4060441131593 53.57669298916171, -113.40760042147949 53.576697600844575, -113.40761108556927 53.57874740520916, -113.4072766903225 53.58003979603172, -113.40435159882398 53.579343299174845, -113.40430060310666 53.57924550943929, -113.40443629942332 53.578973111971294, -113.40449032058804 53.57859440290057, -113.40364523611676 53.57859184937426)))",Edmonton,0.1325,48,48110089.0,INTERSECTS,Census Dissemination Area,6.0,48111975.0,ORMSBY PLACE,"MULTIPOLYGON (((-113.64013380615215 53.496762859851486, -113.64021071633408 53.495574341268835, -113.64485694016271 53.49560635182117, -113.64747872243026 53.49557525714836, -113.64840951252799 53.495509654097425, -113.64893122901016 53.496622056953626, -113.64992343590264 53.49657305120598, -113.65082080300591 53.49669704510063, -113.65111253103599 53.49678045483137, -113.65223922306721 53.49719604936867, -113.65269501074101 53.49749163971349, -113.65282613964418 53.49765955218034, -113.65304272414276 53.49823023926343, -113.65308353832786 53.49840014349459, -113.65324149710649 53.49899904143338, -113.65314649778776 53.49989134505413, -113.65309749564167 53.50007223821961, -113.65308582140119 53.500126436041455, -113.65284961113626 53.50093193925544, -113.6527308212106 53.50120434343857, -113.65237232718403 53.50150003659655, -113.6519752314971 53.501661652942424, -113.65142190206248 53.50173694596024, -113.65009441200539 53.50173034191686, -113.64842052083968 53.501731550418164, -113.64774890334317 53.501602557272506, -113.64731490244203 53.50141434197214, -113.64697962787055 53.50111615938411, -113.64680832316151 53.50078725161683, -113.64684730869527 53.5004446378776, -113.6470396279357 53.500143644797376, -113.64709542402211 53.500070553562615, -113.64712272399458 53.500024935320766, -113.64724993003739 53.49988724979521, -113.64770822405835 53.499256736868766, -113.6477478227744 53.49916594909283, -113.64796562236684 53.498306843875795, -113.64824701126669 53.497014838112776, -113.64766810687809 53.49691986186039, -113.64676121867147 53.496885936324276, -113.645286017295 53.49692763900548, -113.64403562262572 53.4969463331888, -113.64273843286573 53.49693904525182, -113.64234689837964 53.49694773880803, -113.64099992918209 53.49686963647713, -113.64013380615215 53.496762859851486)))",ORMSBY PLACE,4380,4.459051498315262,-0.311967131,2.1099944640155863,-0.856906825,-0.400183111,-0.218605294,-0.874592704,-0.388164354,-0.229828307,0.069979334,-0.214563092,0.4893518152231588,-3.424831484
2021S051248110091,48110091,Alberta,399,4,-0.059,4,-0.009,3,-0.126,5,0.544,53.577456,-113.410657,413.0,180.0,172.0,4821409.573,2169885.2551,2197,"MULTIPOLYGON (((-113.4072766903225 53.58003979603172, -113.40761108556927 53.57874740520916, -113.40760042147949 53.576697600844575, -113.40914101207328 53.576693600735105, -113.40912500562258 53.575084493542846, -113.41066672029925 53.57509840798249, -113.41220729899902 53.57509429719158, -113.41374739951686 53.57508119888482, -113.4152885136142 53.57508610733, -113.41528911134868 53.576686394028805, -113.41374840012537 53.57669059117527, -113.41373602023073 53.578327201337345, -113.41308658783294 53.57833129159369, -113.41220241561523 53.57845701034992, -113.412123298766 53.57847014409759, -113.4106598843187 53.57869490931905, -113.41064829311489 53.57928861152694, -113.41052660157874 53.57980349334754, -113.41026288923509 53.580213410550535, -113.41005978750245 53.58036129224183, -113.40976357884398 53.580466201174104, -113.40943161300807 53.58047288758555, -113.4072766903225 53.58003979603172)))",Edmonton,0.1951,48,48110091.0,INTERSECTS,Census Dissemination Area,8.0,48111977.0,ORMSBY PLACE,"MULTIPOLYGON (((-113.64013380615215 53.496762859851486, -113.64099992918209 53.49686963647713, -113.64234689837964 53.49694773880803, -113.64273843286573 53.49693904525182, -113.64403562262572 53.4969463331888, -113.64406371742444 53.498123552587195, -113.64418202668112 53.498813339133775, -113.64422731133607 53.49954064330852, -113.64429183829269 53.50006965315561, -113.64452700922656 53.500478038039574, -113.64452920384655 53.50075674981942, -113.64441992688937 53.500939041489076, -113.64404240960556 53.501172162789345, -113.64303061145216 53.50139234226149, -113.64259332188455 53.501393042362395, -113.64217881325749 53.50127634328003, -113.64147271270089 53.50083335841293, -113.64099852204804 53.50072695995451, -113.63974692554903 53.50072765511409, -113.63972121178499 53.50007185122842, -113.63972953283144 53.49802165718753, -113.6400786130075 53.49708776005929, -113.64013380615215 53.496762859851486)))",ORMSBY PLACE,4380,4.459051498315262,-0.311967131,2.1099944640155863,-0.856906825,-0.400183111,-0.218605294,-0.874592704,-0.388164354,-0.229828307,0.069979334,-0.214563092,0.4893518152231588,-3.424831484
2021S051248110090,48110090,Alberta,450,5,0.397,3,-0.301,2,-0.402,3,-0.064,53.573968,-113.40655,413.0,190.0,185.0,4821535.2544,2169435.6278,2197,"MULTIPOLYGON (((-113.4029791131353 53.57352690095035, -113.4029622954809 53.57189990176988, -113.40450278616473 53.57189589341865, -113.40604379614952 53.57190090188805, -113.40759940203274 53.571896499084815, -113.40913989442693 53.5718925063074, -113.40914179103312 53.57351981421427, -113.40912500562258 53.575084493542846, -113.40914101207328 53.576693600735105, -113.40760042147949 53.576697600844575, -113.4060441131593 53.57669298916171, -113.40450351005175 53.57669700246386, -113.40450370308164 53.575105599999254, -113.40451958740171 53.57352290965731, -113.4029791131353 53.57352690095035)))",Edmonton,0.1822,48,48110090.0,INTERSECTS,Census Dissemination Area,7.000000000000001,48111976.0,LYMBURN,"MULTIPOLYGON (((-113.6397665283806 53.50225575423969, -113.63974971500406 53.50150085714492, -113.63974692554903 53.50072765511409, -113.64099852204804 53.50072695995451, -113.64147271270089 53.50083335841293, -113.64217881325749 53.50127634328003, -113.64259332188455 53.501393042362395, -113.64303061145216 53.50139234226149, -113.64404240960556 53.501172162789345, -113.64441992688937 53.500939041489076, -113.64452920384655 53.50075674981942, -113.64452700922656 53.500478038039574, -113.64429183829269 53.50006965315561, -113.64422731133607 53.49954064330852, -113.64418202668112 53.498813339133775, -113.64406371742444 53.498123552587195, -113.64403562262572 53.4969463331888, -113.645286017295 53.49692763900548, -113.64676121867147 53.496885936324276, -113.64766810687809 53.49691986186039, -113.64824701126669 53.497014838112776, -113.64796562236684 53.498306843875795, -113.6477478227744 53.49916594909283, -113.64770822405835 53.499256736868766, -113.64724993003739 53.49988724979521, -113.64712272399458 53.500024935320766, -113.64709542402211 53.500070553562615, -113.6470396279357 53.500143644797376, -113.64684730869527 53.5004446378776, -113.64680832316151 53.50078725161683, -113.64697962787055 53.50111615938411, -113.64731490244203 53.50141434197214, -113.64774890334317 53.501602557272506, -113.64842052083968 53.501731550418164, -113.64842633129088 53.50254963894655, -113.64843372206062 53.503151957405194, -113.64819663224363 53.503220140094285, -113.64522580022286 53.50322294037658, -113.64372972383866 53.50317515257293, -113.64160949971274 53.5030332406036, -113.63976602503242 53.50297515212447, -113.63977322059395 53.5028490612448, -113.6397665283806 53.50225575423969)))",LYMBURN,4270,8.337210276425218,0.055322622,0.8383781309496915,-0.218021461,1.4790534177552122,-1.391645156,-0.775406446,-0.965129198,0.1099480405803836,0.4782767005488551,0.021554349,0.1074329839529195,-3.273325289
2021S051248110092,48110092,Alberta,321,5,0.973,4,0.174,5,0.592,3,-0.077,53.572411,-113.410391,371.0,167.0,154.0,4821242.2315,2169358.0036,2197,"MULTIPOLYGON (((-113.40759940203274 53.571896499084815, -113.40761617867332 53.57033179271133, -113.40914150241447 53.57032800970139, -113.41066741461896 53.570333201976716, -113.41220779942371 53.57032909122914, -113.41220568768051 53.571884599458954, -113.41220830525134 53.573520904401356, -113.41220729899902 53.57509429719158, -113.41066672029925 53.57509840798249, -113.40912500562258 53.575084493542846, -113.40914179103312 53.57351981421427, -113.40913989442693 53.5718925063074, -113.40759940203274 53.571896499084815)))",Edmonton,0.1255,48,48110092.0,INTERSECTS,Census Dissemination Area,9.0,48111978.0,LYMBURN,"MULTIPOLYGON (((-113.63451592755034 53.496868934883146, -113.63481201936351 53.496781441147085, -113.63529111165275 53.49672595442399, -113.6355784256556 53.49673754527418, -113.63690460944778 53.49672636442069, -113.63828550318838 53.49662385930242, -113.63885892491147 53.49662924107393, -113.64013380615215 53.496762859851486, -113.6400786130075 53.49708776005929, -113.63972953283144 53.49802165718753, -113.63972121178499 53.50007185122842, -113.63974692554903 53.50072765511409, -113.63974971500406 53.50150085714492, -113.6397665283806 53.50225575423969, -113.63977322059395 53.5028490612448, -113.63976602503242 53.50297515212447, -113.6364830111 53.50295795929783, -113.63506723428871 53.5029506570313, -113.63383711154593 53.50294416068424, -113.63381373256529 53.502809738400536, -113.63370711346644 53.50228133306949, -113.63344352620649 53.500974650016694, -113.63322691847185 53.5000429563214, -113.63314021870615 53.4997315528566, -113.63328253750213 53.49886525522744, -113.6333055190796 53.49880943936001, -113.63354792901586 53.498222456111115, -113.63359723831879 53.49810305747963, -113.6338968277857 53.497341134894896, -113.63415110689675 53.49706575749944, -113.63451592755034 53.496868934883146)))",LYMBURN,4270,8.337210276425218,0.055322622,0.8383781309496915,-0.218021461,1.4790534177552122,-1.391645156,-0.775406446,-0.965129198,0.1099480405803836,0.4782767005488551,0.021554349,0.1074329839529195,-3.273325289
2021S051248110913,48110913,Alberta,676,4,-0.054,5,1.787,5,1.437,2,-0.446,53.482369,-113.511929,686.0,297.0,269.0,4811701.7971,2162259.7886,3755,"MULTIPOLYGON (((-113.51053984275558 53.482271386204985, -113.50770881977455 53.48189620620525, -113.50440330293664 53.48130918808386, -113.50439740720398 53.48130800001464, -113.50420488095274 53.48126839203334, -113.50419810319106 53.481267279593, -113.50419693266132 53.48113369371776, -113.50419521789068 53.48095029462881, -113.50419140928446 53.480783206336966, -113.50418498309061 53.480162894689514, -113.50417331284005 53.47945290314996, -113.50415139148967 53.47882389491943, -113.50434648040161 53.47881090239221, -113.50667222689748 53.47888790730676, -113.50788810961929 53.47906018727801, -113.5077370003189 53.47981861113694, -113.50771594054463 53.480074500404456, -113.50770112716249 53.48025461950504, -113.50767551620092 53.48056609895806, -113.5096548114735 53.48090239437376, -113.51118904045465 53.48093471192381, -113.51147024367138 53.48093738783501, -113.51223005549137 53.48096883333401, -113.51269491225975 53.48097396515052, -113.51308421963584 53.480934118518284, -113.51336564966718 53.480873070222174, -113.51361873778251 53.48079472872267, -113.51392385199087 53.480652563054214, -113.51414145765064 53.480506099735045, -113.51433699132714 53.480333388520954, -113.5145420327024 53.47996925696685, -113.5146888350443 53.479586738887456, -113.5148168749134 53.47924249413662, -113.51481240229725 53.478837107937174, -113.51473332520906 53.47808010739266, -113.51464378392185 53.47682330470657, -113.51448848159356 53.47674569154052, -113.51272530835296 53.47674669660824, -113.51266031008802 53.476667091503366, -113.51265921236083 53.47588500546542, -113.51531171276577 53.47588308464267, -113.51574870939257 53.475882906617635, -113.51618191685458 53.47588040324435, -113.51618221707997 53.47614500642296, -113.51618393879527 53.47780533109183, -113.51618420128872 53.47807049655745, -113.51618519739789 53.47897360903234, -113.5161701007281 53.47954531262506, -113.51616349036986 53.47979570220139, -113.51600680332822 53.480911700790145, -113.51593539398823 53.48132759255337, -113.5159578959136 53.48221729375743, -113.51596150296956 53.48227840716126, -113.51599770231233 53.48244469147313, -113.51606478759787 53.482700858827535, -113.51610461932671 53.4828528840783, -113.51610101733233 53.48285259436787, -113.51133980641553 53.4823773876783, -113.51053984275558 53.482271386204985)))",Edmonton,0.2347,48,48110913.0,INTERSECTS,Census Dissemination Area,544.0,48111979.0,LYMBURN,"MULTIPOLYGON (((-113.63021152766228 53.49943645252149, -113.62967973001331 53.49766785079594, -113.6294334312214 53.496855060806766, -113.62931692288616 53.49643495901679, -113.62952662609835 53.49641233447055, -113.63008042471434 53.49634623486579, -113.63485561166729 53.495782448491966, -113.63635640695513 53.49566846358503, -113.63838702822493 53.49558763643068, -113.64021071633408 53.495574341268835, -113.64013380615215 53.496762859851486, -113.63885892491147 53.49662924107393, -113.63828550318838 53.49662385930242, -113.63690460944778 53.49672636442069, -113.6355784256556 53.49673754527418, -113.63529111165275 53.49672595442399, -113.63481201936351 53.496781441147085, -113.63451592755034 53.496868934883146, -113.63415110689675 53.49706575749944, -113.6338968277857 53.497341134894896, -113.63359723831879 53.49810305747963, -113.63354792901586 53.498222456111115, -113.6333055190796 53.49880943936001, -113.63328253750213 53.49886525522744, -113.63314021870615 53.4997315528566, -113.63322691847185 53.5000429563214, -113.63344352620649 53.500974650016694, -113.63370711346644 53.50228133306949, -113.63381373256529 53.502809738400536, -113.63383711154593 53.50294416068424, -113.63183681487553 53.503033151674984, -113.63128122380996 53.50307234295194, -113.63105589630389 53.503086355422184, -113.63104813443111 53.50296065388772, -113.63101299814767 53.50263774393542, -113.63079732773576 53.50134765156907, -113.63052759248463 53.50040054789909, -113.63041660081487 53.50007034560832, -113.63021152766228 53.49943645252149)))",LYMBURN,4270,8.337210276425218,0.055322622,0.8383781309496915,-0.218021461,1.4790534177552122,-1.391645156,-0.775406446,-0.965129198,0.1099480405803836,0.4782767005488551,0.021554349,0.1074329839529195,-3.273325289
2021S051248110093,48110093,Alberta,403,5,1.282,4,-0.022,5,0.988,2,-0.575,53.572176,-113.414609,455.0,221.0,198.0,4820974.1118,2169425.1249,2197,"MULTIPOLYGON (((-113.41220830525134 53.573520904401356, -113.41220568768051 53.571884599458954, -113.41220779942371 53.57032909122914, -113.41374821299931 53.57032500744874, -113.41529119912899 53.570365799755706, -113.4168327093633 53.57037960048292, -113.4183891994074 53.57039311124768, -113.41839411877959 53.57074359391071, -113.41838380478923 53.57188570860569, -113.41682770516945 53.57188119617565, -113.41528668238304 53.57187640105397, -113.41527431234005 53.57351289215821, -113.4152885136142 53.57508610733, -113.41374739951686 53.57508119888482, -113.41220729899902 53.57509429719158, -113.41220830525134 53.573520904401356)))",Edmonton,0.1421,48,48110093.0,INTERSECTS,Census Dissemination Area,9.999999999999998,48111886.0,KINGLET GARDENS,"MULTIPOLYGON (((-113.71381634370516 53.59243518499533, -113.71364305454613 53.592443368721085, -113.71366305001514 53.59138775440191, -113.7136557451931 53.5898593411754, -113.7136498498027 53.585525662759295, -113.71363225154732 53.58171365456782, -113.71363111258262 53.580452379318146, -113.71362864664923 53.57764954142206, -113.71362416049274 53.576166042804644, -113.71361956668986 53.57397214908353, -113.71363364396788 53.57042025936046, -113.71356505660563 53.5703001472969, -113.71350593547756 53.570226441090036, -113.71341437031433 53.57014394341108, -113.71330225919019 53.5700636329247, -113.7132247751176 53.569988547379026, -113.71316514876982 53.569923751952544, -113.71385675527993 53.56991924351587, -113.71385896739307 53.5705135962742, -113.71385959962767 53.5708975996017, -113.71386074718254 53.57160881881445, -113.71383267253734 53.571707854424176, -113.71378296768194 53.571883188206385, -113.71379024663591 53.576288971945274, -113.71379175724587 53.57720382878493, -113.71379210886306 53.57742325738233, -113.71379220985095 53.577477720785616, -113.71379226893694 53.57751365403213, -113.71379232201514 53.57754565375449, -113.71386719695037 53.57754638865766, -113.71386769812572 53.57786976864868, -113.7138683873601 53.5783225492155, -113.71386907313166 53.57876593401588, -113.71386975733019 53.57920931876784, -113.71379153756898 53.579209359069324, -113.71379363892768 53.58057852900489, -113.7138718690703 53.58057847890917, -113.71387300880694 53.58115871928768, -113.71379476827123 53.58115842934923, -113.7137952296013 53.58161080885012, -113.7137953361346 53.58168051689506, -113.71379567833222 53.58190109091832, -113.71379647647159 53.58241220514955, -113.71379722322547 53.58289942578353, -113.71379782760451 53.58328546672426, -113.71379834347111 53.58361947248507, -113.71379880084527 53.58391727793834, -113.71379923871235 53.58420213711781, -113.71379967658098 53.58448699538507, -113.71380009931585 53.58477185347654, -113.71380497351892 53.58707206831864, -113.71381408857421 53.59137234316116, -113.71381447338469 53.59155202614, -113.71381542297668 53.59200121859257, -113.71381634370516 53.59243518499533)))",KINGLET GARDENS,4477,-11.78,0.7320395739438649,1.835758294486284,-0.575831868,-0.688954295,1.751299160041782,1.9807983579668875,-2.296776522,-0.826552586,0.624071386,0.1115655813334121,-0.663477525,-16.20533501
2021S051248110097,48110097,Alberta,463,5,0.427,4,-0.081,4,0.417,2,-0.568,53.573011,-113.425081,497.0,224.0,197.0,4820360.2455,2169738.5363,2198,"MULTIPOLYGON (((-113.4214970973782 53.57508639490307, -113.42149829200964 53.57352189214266, -113.4230242956787 53.57352699909285, -113.42303690553271 53.571899397063426, -113.42456229084037 53.57189539391375, -113.4245655059313 53.57036691103875, -113.42609129786528 53.57037190906233, -113.42760158921755 53.57036819785283, -113.42759900691128 53.57190569516117, -113.42760169696584 53.57353300272879, -113.42607570700231 53.5735279857274, -113.42607361370665 53.57507450163649, -113.4245486780417 53.575087498902725, -113.42302369764764 53.575100400653994, -113.4214970973782 53.57508639490307)))",Edmonton,0.1419,48,48110097.0,INTERSECTS,Census Dissemination Area,25.0,48112126.0,MEYONOHK,"MULTIPOLYGON (((-113.44141693655098 53.45956296812855, -113.44148714308494 53.459129080594444, -113.44151904446873 53.458439763815235, -113.44335213909604 53.45841287306195, -113.44381917318807 53.458412370371214, -113.44396074636151 53.45851727322048, -113.44619185977798 53.45854357832603, -113.44636577890249 53.45842307291167, -113.44686324640666 53.45843087540724, -113.44727066072296 53.45844056667366, -113.44811536566839 53.45845917661941, -113.44811107829509 53.45890887989909, -113.44810894496996 53.45913367275583, -113.448103172901 53.45955635884552, -113.44821923899546 53.460003565904536, -113.44851283707233 53.46065386363466, -113.44980507802202 53.462164860988835, -113.4471388731749 53.46269607902787, -113.4467791397396 53.462730364123814, -113.44528005000763 53.46285998297037, -113.44400085200675 53.46288617986326, -113.44259846116468 53.46279086845533, -113.44193366941339 53.46261597973284, -113.44138884956325 53.462321067725206, -113.44093805902135 53.46198576836211, -113.44064855574987 53.461486682282576, -113.44068663517483 53.46091516968957, -113.4412191499533 53.45997138119616, -113.44141693655098 53.45956296812855)))",MEYONOHK,6470,-2.27,-1.605793135,0.8772042569108371,-0.577877599,0.2825940219097516,-1.205820571,-0.148679506,-0.297212914,0.7872410261524514,0.2036693743820052,-0.866414344,-0.223530587,-7.199410421
2021S051248110107,48110107,Alberta,544,5,0.386,4,0.05,4,0.415,1,-0.724,53.581073,-113.461942,574.0,300.0,256.0,4818386.7815,2171371.8759,3782,"MULTIPOLYGON (((-113.44082643502685 53.58353925513463, -113.44174729058807 53.582983731145504, -113.44220061321003 53.58272694499905, -113.44260830042381 53.58248134133331, -113.4430128545497 53.582219806777395, -113.44330698274942 53.58202964038476, -113.44442051255587 53.581318539511095, -113.44644381280158 53.58005894045987, -113.44856048371713 53.57875395699107, -113.44899899688137 53.57847883856982, -113.44900126862666 53.57847742145795, -113.45031481644172 53.578913807213276, -113.45103443513467 53.579296895844855, -113.4510630082009 53.57931209685596, -113.45265049249046 53.580376405552066, -113.4527296041752 53.58043779961534, -113.45282463640991 53.580516555159676, -113.45282480651716 53.58051668529282, -113.45299967229674 53.58064888734049, -113.45315872252367 53.58055443159035, -113.45317400261699 53.580545498791686, -113.45374381899136 53.58021020453381, -113.45426051327806 53.579740984158995, -113.4545653977607 53.57926719316442, -113.45482560819495 53.57932478671374, -113.45536981669201 53.57933160777119, -113.45581989004148 53.5792773986125, -113.45637930002128 53.579023197330464, -113.45668580179401 53.57883709416155, -113.45693239548399 53.57866120127594, -113.4568794150966 53.57983110338286, -113.45840511868616 53.57982669947393, -113.45996141351206 53.57983069041894, -113.46180452133244 53.57982869998466, -113.46364750504802 53.57982670381356, -113.46549060035387 53.57982470765693, -113.46731858701682 53.57982289793872, -113.46732669544541 53.58073980436364, -113.46725818682185 53.58137959201443, -113.46724838785617 53.5817305075379, -113.46723371026093 53.58206428460705, -113.46723165199339 53.582144397358675, -113.46723027518776 53.58219826763241, -113.46722823198157 53.582279344905174, -113.46722680319124 53.58233610146441, -113.4672262967348 53.582390811744936, -113.46722119519625 53.58281890010759, -113.46722820948536 53.583520641098275, -113.46722831200903 53.583530987388656, -113.4668168131807 53.583532339830924, -113.4664699379047 53.583531413475626, -113.4577534142912 53.583507732428465, -113.45245810206562 53.58348823374351, -113.4522863083648 53.58349482490747, -113.45216079235118 53.58350095551021, -113.45188687179709 53.58351512157481, -113.45168718617616 53.58352544214791, -113.45084829192382 53.5835199473089, -113.44961458861864 53.58357323872119, -113.44947709631508 53.58357264814814, -113.4481467819298 53.5835646343561, -113.44683298271615 53.583557033621595, -113.44667877178127 53.58355613563757, -113.44665453446905 53.58355600090933, -113.4463526810465 53.58355423465709, -113.44531960172684 53.58354823096667, -113.44491317617167 53.583545834974046, -113.44312999556631 53.58353303313005, -113.44301911020949 53.58353162996342, -113.44300422375844 53.58353143842685, -113.44274431109088 53.583528236615955, -113.44252397774144 53.58353474762291, -113.44152642024208 53.58353941103726, -113.4413652884488 53.583540152006165, -113.44082643502685 53.58353925513463)))",Edmonton,0.6702,48,48110107.0,INTERSECTS,Census Dissemination Area,21.0,48112122.0,MEYONOHK,"MULTIPOLYGON (((-113.45384397305588 53.460094879737234, -113.45370534946682 53.45873472384394, -113.4551085517734 53.458774169362655, -113.45612955500124 53.458797962956346, -113.45859327435986 53.45885536288315, -113.45991996571034 53.45887295413015, -113.45993608291054 53.459412076765325, -113.46006946250502 53.45989486984022, -113.46034704619855 53.46026676096277, -113.45958898053314 53.46044427790885, -113.45915365200136 53.46047116096959, -113.45860885196514 53.460428475379416, -113.45730337499472 53.46025756111422, -113.45670117584358 53.460182494388256, -113.45575544548981 53.460064568704986, -113.45384397305588 53.460094879737234)))",MEYONOHK,6470,-2.27,-1.605793135,0.8772042569108371,-0.577877599,0.2825940219097516,-1.205820571,-0.148679506,-0.297212914,0.7872410261524514,0.2036693743820052,-0.866414344,-0.223530587,-7.199410421
2021S051248110108,48110108,Alberta,460,5,0.513,5,1.063,5,0.914,3,-0.263,53.578247,-113.465081,409.0,238.0,206.0,4818090.5702,2171147.9725,3782,"MULTIPOLYGON (((-113.46180522558242 53.57828220460644, -113.46180490997749 53.57671779399097, -113.46364839958872 53.576724810644485, -113.46549128798316 53.576722798593416, -113.46731918074973 53.57672100477536, -113.46731908305887 53.578276509554975, -113.46731858701682 53.57982289793872, -113.46549060035387 53.57982470765693, -113.46364750504802 53.57982670381356, -113.46180452133244 53.57982869998466, -113.46180522558242 53.57828220460644)))",Edmonton,0.1262,48,48110108.0,INTERSECTS,Census Dissemination Area,22.0,48112123.0,MEYONOHK,"MULTIPOLYGON (((-113.44811107829509 53.45890887989909, -113.44811536566839 53.45845917661941, -113.4489013658286 53.45850598215168, -113.45213385952984 53.458655464291795, -113.45370534946682 53.45873472384394, -113.45384397305588 53.460094879737234, -113.45389474889012 53.460714264767944, -113.45372557592479 53.46117625708096, -113.45311056138495 53.46200708125609, -113.45230366256627 53.46186177611587, -113.45174535870652 53.46184627158433, -113.451236770225 53.46191066137739, -113.44980507802202 53.462164860988835, -113.44851283707233 53.46065386363466, -113.44821923899546 53.460003565904536, -113.448103172901 53.45955635884552, -113.44810894496996 53.45913367275583, -113.44811107829509 53.45890887989909)))",MEYONOHK,6470,-2.27,-1.605793135,0.8772042569108371,-0.577877599,0.2825940219097516,-1.205820571,-0.148679506,-0.297212914,0.7872410261524514,0.2036693743820052,-0.866414344,-0.223530587,-7.199410421
